sentences,aspects,labels
"Following Hamas' attacks on Israel on Oct, 7, 2023, and Israel's ensuing assaults on Gaza, the conflict in the Middle East has become one of the top issues this election cycle.",Donald Trump,1
Pressure for a cease-fire has created a rift within the Democratic Party and Republicans are attempting to capitalize on that moment while Trump's own inflammatory comments continue to face pushback from critics.,Donald Trump,0
"Tune into ABC News Live at 8:30 p.m. on Monday, Oct. 7, for ""Oct 7th: Race to Survive"" -- special coverage of the anniversary of the conflict.",Donald Trump,1
Veteran correspondent Matt Gutman highlights voices of Israelis and Palestinians impacted by the war and the ongoing humanitarian crisis in Gaza.,Donald Trump,1
"Since Hamas launched its surprise terrorist attack in Israel one year ago, and Israel responded by declaring war, thousands have reportedly been killed or injured.",Donald Trump,1
Israel has said its goal is to destroy Hamas and that it attempts to minimize civilian casualties as often as possible.,Donald Trump,1
"Meanwhile, a humanitarian crisis has unfolded in Gaza, including the collapse of the health care system.",Donald Trump,1
"Harris, while stressing the alliance between the United States and Israel, has appealed to the humanitarian crises in Gaza and has repeatedly called for a cease-fire, including at the Democratic National Convention in August, where she officially introduced herself to the public for the first time as the Democratic nominee for the 2024 presidential race.",Donald Trump,1
The Democratic Party is divided on the issue as the war deepens with Iran's latest attack on Israel.,Donald Trump,0
"Although Harris has noticeably attempted to thread the needle in an attempt to bridge the ideological gap, concerns remain about whether the Biden-Harris administration lacks influence over Israel's Prime Minister Benjamin Netanyahu.",Donald Trump,0
"Vice President Kamala Harris during the Democratic National Convention (DNC) in Chicago, Aug. 22, 2024.",Donald Trump,1
"David Paul Morris/Bloomberg via Getty Images

In a preview clip released ahead of her interview on CBS News' ""60 Minutes,"" Harris remained aligned with President Joe Biden's position, saying the administration is doing what they can to ""allow Israel to defend itself"" and that they will continue to put ""pressure on Israel and in the region, including Arab leaders"" to release the hostages and achieve a cease-fire.",Donald Trump,1
"She claimed the negotiations they've done with Netanyahu have led to open conversations and changes in Israel's approach in the region, but dodged the question on whether Netanyahu is a ""real close"" ally of the U.S., saying, ""the better question is: do we have an important alliance between the American people and the Israeli people?",Donald Trump,1
"And the answer to that question is yes.""",Donald Trump,1
"Trump on the campaign trail has made an extensive effort to court Jewish American voters, often claiming that ""no President has done more for Israel than I have.""",Donald Trump,2
"Over the course of the campaign, Trump has participated in Jewish-focused campaign events with the Republican Jewish Coalition and the Israeli-American Council.",Donald Trump,2
"He has also been campaigning with major donor and vocal Israel-advocate Miriam Adelson, who is investing nearly $90 million in support of Trump in the final months of the 2024 general election.",Donald Trump,2
"At the same time, Trump has repeatedly sparked criticism by attacking Jewish Democrats, including Emhoff and Democratic Sen. Chuck Schumer, claiming that Jewish Americans who vote for Democrats should get their ""head examined.""",Donald Trump,0
"""They have not been your friends.",Donald Trump,0
"I don't understand how anybody can support them,"" Trump said during his virtual remarks at the Republican Jewish Coalition annual summit last month.",Donald Trump,0
"""And I say it constantly.",Donald Trump,1
"If you had them to support and you were Jewish, you have to have your head examined.""",Donald Trump,0
"Former President Donald Trump shakes hands with Israeli Prime Minister Benjamin Netanyahu as they pose for a photo at Mar-a-Lago estate, in Palm Beach, Fla., July 26, 2024.",Donald Trump,2
"Amos Ben-Gershom (GPO)/Anadolu via Getty Images

Trump also criticized Netanyahu, saying in a TIME magazine interview published in April that the Oct. 7 attacks happened ""on his watch"" and that he has been ""rightfully criticized"" for the attacks.",Donald Trump,0
"""I will say this, Bibi Netanyahu rightfully has been criticized for what took place on Oct. 7,"" Trump told TIME, criticizing him again for backing out on what was supposed to be a joint U.S.-Israel operation to assassinate a top Iranian general in 2020.",Donald Trump,0
"""It happened on his watch,"" Trump said about Netanyahu and the Israel-Hamas war.",Donald Trump,0
"""And I think it's had a profound impact on him, despite everything.",Donald Trump,1
Because people said that shouldn't have happened.,Donald Trump,0
"They have the most sophisticated equipment.""",Donald Trump,1
"Still, Trump met with Netanyahu in July, insisting their relationship ""was never bad.""",Donald Trump,1
"""We've had a good working relationship.",Donald Trump,2
"I was very good to Israel, better than any president has ever been,"" Trump claimed after meeting with Netanyahu.",Donald Trump,2
"Trump has insisted in his campaign messages that the world was a safer place under his administration, claiming that the Oct. 7 attacks on Israel would not have happened under his presidency and that foreign adversaries are launching attacks because of the Biden-Harris administration's weakness.",Donald Trump,2
"""Ever since Iran has been exporting terror all over the world and, it's been just unraveling, the whole Middle East has been unraveling, but of course, the whole world has been unraveling since we left office,"" Trump said at a campaign event in Waunakee, Wisconsin, last Tuesday just after Iran launched missile attacks on Israel.",Donald Trump,0
Harris also met with Netanyahu in July.,Donald Trump,1
"After the meeting, she reiterated that Israel has the right to defend itself but added, ""how it does so matters.""",Donald Trump,1
"Harris said that she talked to Netanyahu about her ""serious concern"" about the collateral damage and suffering of Gazan civilians.",Donald Trump,1
"Hamas' attacks on Oct. 7, 2023, killed about 1,200 people in Israel, with some 250 people kidnapped.",Donald Trump,0
"And more than 41,000 people have been killed in Gaza since then, according to the Hamas-run Gaza Ministry of Health.",Donald Trump,0
"""With over 2 million people facing high levels of food insecurity, and half a million people facing catastrophic levels of acute food insecurity, what has happened in Gaza over the past nine months is devastating; the images of dead children and desperate, hungry people fleeing for safety, sometimes displaced for the second, third or fourth time,"" Harris said.",Donald Trump,0
ABC News' Molly Nagle contributed to this report.,Donald Trump,1
The conflict in the Middle East is a top issue for voters this election cycle.,Kamala Harris,1
"As the conflict in the Middle East escalates, Vice President Kamala Harris and former President Donald Trump are both taking a break from campaigning in battleground states on Monday to memorialize the anniversary of the Oct. 7 Hamas attacks on Israel.",Kamala Harris,1
"Harris, alongside second gentleman Doug Emhoff, marked the day by planting a pomegranate tree at the vice president's residence -- a symbol of hope and righteousness in Judaism.",Kamala Harris,2
"Trump visited Ohel Chabad-Lubavitch -- considered a sacred site amongst Hasidic Jews -- in Queens, New York, where he had an intimate private visit to the Ohel, the gravesite of the Rebbe at the Old Montefiore Cemetery, where he was seen shaking hands with Rabbis and mingling with leaders.",Kamala Harris,2
Trump later spoke at a remembrance event with Jewish community leaders at his Trump National Doral Miami property golf resort.,Kamala Harris,1
"People look at a memorial for victims of the bloody Oct. 7 cross-border attack by Hamas militants on the one-year anniversary of the attack, in Tel Aviv, Israel, Oct. 7, 2024.",Kamala Harris,0
"Oded Balilty/AP

On Monday, Harris urged the country that as they reflect on the horrors of Oct. 7, they also be reminded ""we cannot lose faith.""",Kamala Harris,2
"""I will never forget October 7, and the world must never forget.",Kamala Harris,2
What is asked of us?,Kamala Harris,1
"We must work to ensure nothing like the horrors of Oct. 7 can ever happen again, and on this solemn day, I will restate my pledge to always ensure that Israel has what it needs to defend itself, and that I will always work to ensure the safety and security of the Jewish people here and around the world,"" Harris pledged.",Kamala Harris,2
"Republican presidential nominee former President Donald Trump poses for photos with family members of Edan Alexander, a hostage held by Hamas, after visiting the gravesite of Rabbi Menachem Mendel Schneerson, Oct. 7, 2024, in New York.",Kamala Harris,1
"Yuki Iwamura/AP

Democratic presidential nominee and Vice President Kamala Harris and Second Gentleman Doug Emhoff plant a tree to mark the one year anniversary of the Oct. 7 Hamas attacks on Israel, at the Vice President's residence at the Naval Observatory in Washington, D.C., Oct. 7, 2024.",Kamala Harris,2
"Nathan Howard/Reuters

To commemorate Oct. 7, Harris' running mate, Gov.",Kamala Harris,1
"Tim Walz visited the ""Nova Exhibition"" -- an exhibit honoring the victims of the Hamas attack -- in Culver City, California, on Monday.",Kamala Harris,2
"Walz was greeted by Noa Beer, a survivor of the Oct. 7 attack and an organizer of the Nova Music Festival, and the exhibition's event producer Virginia Fout upon his arrival at the exhibition, according to the Harris campaign.",Kamala Harris,2
"Following Hamas' attacks on Israel on Oct, 7, 2023, and Israel's ensuing assaults on Gaza, the conflict in the Middle East has become one of the top issues this election cycle.",Kamala Harris,0
Pressure for a cease-fire has created a rift within the Democratic Party and Republicans are attempting to capitalize on that moment while Trump's own inflammatory comments continue to face pushback from critics.,Kamala Harris,0
"Tune into ABC News Live at 8:30 p.m. on Monday, Oct. 7, for ""Oct 7th: Race to Survive"" -- special coverage of the anniversary of the conflict.",Kamala Harris,1
Veteran correspondent Matt Gutman highlights voices of Israelis and Palestinians impacted by the war and the ongoing humanitarian crisis in Gaza.,Kamala Harris,1
"Since Hamas launched its surprise terrorist attack in Israel one year ago, and Israel responded by declaring war, thousands have reportedly been killed or injured.",Kamala Harris,0
Israel has said its goal is to destroy Hamas and that it attempts to minimize civilian casualties as often as possible.,Kamala Harris,1
"Meanwhile, a humanitarian crisis has unfolded in Gaza, including the collapse of the health care system.",Kamala Harris,0
"Harris, while stressing the alliance between the United States and Israel, has appealed to the humanitarian crises in Gaza and has repeatedly called for a cease-fire, including at the Democratic National Convention in August, where she officially introduced herself to the public for the first time as the Democratic nominee for the 2024 presidential race.",Kamala Harris,2
The Democratic Party is divided on the issue as the war deepens with Iran's latest attack on Israel.,Kamala Harris,0
"Although Harris has noticeably attempted to thread the needle in an attempt to bridge the ideological gap, concerns remain about whether the Biden-Harris administration lacks influence over Israel's Prime Minister Benjamin Netanyahu.",Kamala Harris,1
"Vice President Kamala Harris during the Democratic National Convention (DNC) in Chicago, Aug. 22, 2024.",Kamala Harris,1
"David Paul Morris/Bloomberg via Getty Images

In a preview clip released ahead of her interview on CBS News' ""60 Minutes,"" Harris remained aligned with President Joe Biden's position, saying the administration is doing what they can to ""allow Israel to defend itself"" and that they will continue to put ""pressure on Israel and in the region, including Arab leaders"" to release the hostages and achieve a cease-fire.",Kamala Harris,2
"She claimed the negotiations they've done with Netanyahu have led to open conversations and changes in Israel's approach in the region, but dodged the question on whether Netanyahu is a ""real close"" ally of the U.S., saying, ""the better question is: do we have an important alliance between the American people and the Israeli people?",Kamala Harris,1
"And the answer to that question is yes.""",Kamala Harris,2
"Trump on the campaign trail has made an extensive effort to court Jewish American voters, often claiming that ""no President has done more for Israel than I have.""",Kamala Harris,2
"Over the course of the campaign, Trump has participated in Jewish-focused campaign events with the Republican Jewish Coalition and the Israeli-American Council.",Kamala Harris,2
"He has also been campaigning with major donor and vocal Israel-advocate Miriam Adelson, who is investing nearly $90 million in support of Trump in the final months of the 2024 general election.",Kamala Harris,2
"At the same time, Trump has repeatedly sparked criticism by attacking Jewish Democrats, including Emhoff and Democratic Sen. Chuck Schumer, claiming that Jewish Americans who vote for Democrats should get their ""head examined.""",Kamala Harris,0
"""They have not been your friends.",Kamala Harris,0
"I don't understand how anybody can support them,"" Trump said during his virtual remarks at the Republican Jewish Coalition annual summit last month.",Kamala Harris,0
"""And I say it constantly.",Kamala Harris,1
"If you had them to support and you were Jewish, you have to have your head examined.""",Kamala Harris,0
"Former President Donald Trump shakes hands with Israeli Prime Minister Benjamin Netanyahu as they pose for a photo at Mar-a-Lago estate, in Palm Beach, Fla., July 26, 2024.",Kamala Harris,1
"Amos Ben-Gershom (GPO)/Anadolu via Getty Images

Trump also criticized Netanyahu, saying in a TIME magazine interview published in April that the Oct. 7 attacks happened ""on his watch"" and that he has been ""rightfully criticized"" for the attacks.",Kamala Harris,0
"""I will say this, Bibi Netanyahu rightfully has been criticized for what took place on Oct. 7,"" Trump told TIME, criticizing him again for backing out on what was supposed to be a joint U.S.-Israel operation to assassinate a top Iranian general in 2020.",Kamala Harris,0
"""It happened on his watch,"" Trump said about Netanyahu and the Israel-Hamas war.",Kamala Harris,0
"""And I think it's had a profound impact on him, despite everything.",Kamala Harris,1
Because people said that shouldn't have happened.,Kamala Harris,0
"They have the most sophisticated equipment.""",Kamala Harris,1
"Still, Trump met with Netanyahu in July, insisting their relationship ""was never bad.""",Kamala Harris,1
"""We've had a good working relationship.",Kamala Harris,2
"I was very good to Israel, better than any president has ever been,"" Trump claimed after meeting with Netanyahu.",Kamala Harris,2
"Trump has insisted in his campaign messages that the world was a safer place under his administration, claiming that the Oct. 7 attacks on Israel would not have happened under his presidency and that foreign adversaries are launching attacks because of the Biden-Harris administration's weakness.",Kamala Harris,0
"""Ever since Iran has been exporting terror all over the world and, it's been just unraveling, the whole Middle East has been unraveling, but of course, the whole world has been unraveling since we left office,"" Trump said at a campaign event in Waunakee, Wisconsin, last Tuesday just after Iran launched missile attacks on Israel.",Kamala Harris,0
Harris also met with Netanyahu in July.,Kamala Harris,1
"After the meeting, she reiterated that Israel has the right to defend itself but added, ""how it does so matters.""",Kamala Harris,1
"Harris said that she talked to Netanyahu about her ""serious concern"" about the collateral damage and suffering of Gazan civilians.",Kamala Harris,0
"Hamas' attacks on Oct. 7, 2023, killed about 1,200 people in Israel, with some 250 people kidnapped.",Kamala Harris,0
"And more than 41,000 people have been killed in Gaza since then, according to the Hamas-run Gaza Ministry of Health.",Kamala Harris,0
"""With over 2 million people facing high levels of food insecurity, and half a million people facing catastrophic levels of acute food insecurity, what has happened in Gaza over the past nine months is devastating; the images of dead children and desperate, hungry people fleeing for safety, sometimes displaced for the second, third or fourth time,"" Harris said.",Kamala Harris,0
ABC News' Molly Nagle contributed to this report.,Kamala Harris,1
Podcasts are the new battleground for politicians looking to win voters.,Donald Trump,1
"Trump has been busy hitting the podcast circuit, doing interviews with Logan Paul and Adin Ross.",Donald Trump,2
"Harris on Sunday made an appearance on the ""Call Her Daddy"" podcast.",Donald Trump,1
"Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily.",Donald Trump,1
Read preview Thanks for signing up!,Donald Trump,1
Go to newsletter preferences Thanks for signing up!,Donald Trump,1
Access your favorite topics in a personalized feed while you're on the go.,Donald Trump,1
"download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy .",Donald Trump,1
"You can opt-out at any time by visiting our Preferences page or by clicking ""unsubscribe"" at the bottom of the email.",Donald Trump,1
"Advertisement

Former President Donald Trump and Vice President Kamala Harris disagree on a lot of things, but there's one thing they align on — reaching out to voters on podcasts.",Donald Trump,2
"The Democratic nominee made an appearance on the latest episode of Alex Cooper's ""Call Her Daddy"" podcast, which aired on Sunday.",Donald Trump,1
"During the interview, Cooper asked Harris about Trump's wild claim that babies were being executed after birth, a statement he made during the presidential debate on September 10.",Donald Trump,0
"""That is not happening anywhere in the United States.",Donald Trump,0
It is not happening and it's a lie.,Donald Trump,0
"It's a bold-faced lie,"" Harris told Cooper.",Donald Trump,0
"Advertisement

""This guy is full of lies.",Donald Trump,0
"I mean, I just have to be very candid with you,"" Harris said of Trump.",Donald Trump,0
Vice President Harris calls out Trump’s lies about women and abortion: “It’s so insulting… This guy is full of lies.,Donald Trump,0
"I just have to be very candid with you” pic.twitter.com/vEKPIuT0o3 — Kamala HQ (@KamalaHQ) October 6, 2024

Harris' podcast appearance comes as her campaign embarks on a media blitz.",Donald Trump,1
"Harris' team has received flak for booking their candidate on a limited number of media appearances — in comparison to Trump, who has been busy hitting the podcast circuit.",Donald Trump,2
"In August, Trump did a livestreamed interview on X with his vocal billionaire backer, Elon Musk.",Donald Trump,2
"The Republican nominee has also given multiple podcast interviews in recent months, including sit-downs with Logan Paul, Theo Von, Adin Ross, Lex Fridman, and Dr. Phil.",Donald Trump,2
"Advertisement

During his interview with Fridman, which aired last month, Trump said that he was drawn to podcast interviews for their reach.",Donald Trump,2
"""You have to get the word out and you have to just continuously, like, for instance, you have a great show.",Donald Trump,2
You have a great podcast.,Donald Trump,2
It's very well-watched.,Donald Trump,2
"And I'm sitting here, and I do this, a lot of people see it.",Donald Trump,2
"And I do other things, and a lot of people see that,"" Trump said.",Donald Trump,2
"Related stories

Trump, who often appears on Fox News, even suggested to Fridman that the traditional media's popularity could be waning.",Donald Trump,1
"""And I go traditional also, you know, you have traditional television, which is getting a little bit older and maybe less significant, could be less significant, I don't know.",Donald Trump,1
But it's changing a lot.,Donald Trump,1
The whole platform is changing a lot.,Donald Trump,1
"It's changed a lot in the last two, three years,"" Trump said.",Donald Trump,1
"Advertisement

""But from a political standpoint, you've to find out what people are doing, what they're watching.",Donald Trump,1
"And you have to get on.""",Donald Trump,1
"Trump was also introduced to the medium of livestreaming during an August interview with high-profile Gen Z streamer Adin Ross , who has a large conservative male following.",Donald Trump,2
Ross taught him the nitty-gritty of how live chats work and introduced him to some Gen Z slang.,Donald Trump,2
"The interview drew more than 500,000 viewers and ended with Trump accepting a Tesla Cybertruck from Ross.",Donald Trump,2
"And in June, Trump did an hourlong interview with the controversial social-media influencer Logan Paul, talking about everything from Putin to aliens and SpaceX CEO Elon Musk.",Donald Trump,2
"Advertisement

Why podcasting is now king

Podcast interviews have several benefits — and they may help candidates reach younger voters, who often get their news from less traditional sources of media.",Donald Trump,2
"Saifuddin Ahmed, a communication professor at Singapore's Nanyang Technological University, said podcasts are effective in connecting ""directly and authentically with younger, often politically disinterested audiences.""",Donald Trump,2
"""Podcasts offer a more casual and relatable setting for political messaging, which resonates well with younger audiences who often prefer lighter, less formal discussions over heavy policy talk,"" he said.",Donald Trump,2
"He added that podcasts are perceived as ""more sincere and less controlled compared to traditional media outlets.""",Donald Trump,2
"Advertisement

""Unlike traditional media, often viewed as having political biases or strict editorial control, podcasts offer direct communication between candidates and audiences, promoting a sense of connection,"" Ahmed said.",Donald Trump,2
But he cautioned that podcasters may have their own biases and commercial interests as well.,Donald Trump,1
Podcast clips also have mileage beyond just the channel.,Donald Trump,1
"For instance, clips from Trump's interviews with Paul and Ross have gone viral on both TikTok and X.",Donald Trump,2
"That reach on TikTok, in particular, is a big get.",Donald Trump,2
"According to a September 2023 survey from the Pew Research Center, 17% of US adults in September said they regularly get news from TikTok, up from 3% in 2020.",Donald Trump,2
"Advertisement

That number jumped from 9% to 39% among 18- to 29-year-olds.",Donald Trump,2
"The survey was conducted on 10,658 US adults from July 15 to August 4, 2024.",Donald Trump,1
"Trump has a robust TikTok following, with 11.7 million followers as of press time.",Donald Trump,2
"He also has the full-throated endorsement of Musk, who owns X.

Harris lags behind Trump in terms of TikTok following, with 4.6 million as of press time.",Donald Trump,2
"But she has tried to make up for it on other fronts, like her Gen Z-targeted social media campaign on X with memes and celebrity endorsements, as well as her trendy campaign merchandise.",Donald Trump,1
Podcasts are the new battleground for politicians looking to win voters.,Kamala Harris,1
"Trump has been busy hitting the podcast circuit, doing interviews with Logan Paul and Adin Ross.",Kamala Harris,1
"Harris on Sunday made an appearance on the ""Call Her Daddy"" podcast.",Kamala Harris,2
"Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily.",Kamala Harris,1
Read preview Thanks for signing up!,Kamala Harris,1
Go to newsletter preferences Thanks for signing up!,Kamala Harris,1
Access your favorite topics in a personalized feed while you're on the go.,Kamala Harris,1
"download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy .",Kamala Harris,1
"The Democratic nominee made an appearance on the latest episode of Alex Cooper's ""Call Her Daddy"" podcast, which aired on Sunday.",Kamala Harris,2
"During the interview, Cooper asked Harris about Trump's wild claim that babies were being executed after birth, a statement he made during the presidential debate on September 10.",Kamala Harris,0
"""That is not happening anywhere in the United States.",Kamala Harris,0
It is not happening and it's a lie.,Kamala Harris,0
"It's a bold-faced lie,"" Harris told Cooper.",Kamala Harris,0
"Advertisement

""This guy is full of lies.",Kamala Harris,0
"I mean, I just have to be very candid with you,"" Harris said of Trump.",Kamala Harris,0
Vice President Harris calls out Trump’s lies about women and abortion: “It’s so insulting… This guy is full of lies.,Kamala Harris,0
"I just have to be very candid with you” pic.twitter.com/vEKPIuT0o3 — Kamala HQ (@KamalaHQ) October 6, 2024

Harris' podcast appearance comes as her campaign embarks on a media blitz.",Kamala Harris,1
"Harris' team has received flak for booking their candidate on a limited number of media appearances — in comparison to Trump, who has been busy hitting the podcast circuit.",Kamala Harris,1
"In August, Trump did a livestreamed interview on X with his vocal billionaire backer, Elon Musk.",Kamala Harris,1
"The Republican nominee has also given multiple podcast interviews in recent months, including sit-downs with Logan Paul, Theo Von, Adin Ross, Lex Fridman, and Dr. Phil.",Kamala Harris,1
"Advertisement

During his interview with Fridman, which aired last month, Trump said that he was drawn to podcast interviews for their reach.",Kamala Harris,2
"""You have to get the word out and you have to just continuously, like, for instance, you have a great show.",Kamala Harris,2
You have a great podcast.,Kamala Harris,2
It's very well-watched.,Kamala Harris,2
"And I'm sitting here, and I do this, a lot of people see it.",Kamala Harris,2
"And I do other things, and a lot of people see that,"" Trump said.",Kamala Harris,1
"Related stories

Trump, who often appears on Fox News, even suggested to Fridman that the traditional media's popularity could be waning.",Kamala Harris,1
"""And I go traditional also, you know, you have traditional television, which is getting a little bit older and maybe less significant, could be less significant, I don't know.",Kamala Harris,1
But it's changing a lot.,Kamala Harris,1
The whole platform is changing a lot.,Kamala Harris,1
"It's changed a lot in the last two, three years,"" Trump said.",Kamala Harris,1
"Advertisement

""But from a political standpoint, you've to find out what people are doing, what they're watching.",Kamala Harris,1
"And you have to get on.""",Kamala Harris,1
"Trump was also introduced to the medium of livestreaming during an August interview with high-profile Gen Z streamer Adin Ross , who has a large conservative male following.",Kamala Harris,2
Ross taught him the nitty-gritty of how live chats work and introduced him to some Gen Z slang.,Kamala Harris,2
"The interview drew more than 500,000 viewers and ended with Trump accepting a Tesla Cybertruck from Ross.",Kamala Harris,2
"And in June, Trump did an hourlong interview with the controversial social-media influencer Logan Paul, talking about everything from Putin to aliens and SpaceX CEO Elon Musk.",Kamala Harris,1
"Advertisement

Why podcasting is now king

Podcast interviews have several benefits — and they may help candidates reach younger voters, who often get their news from less traditional sources of media.",Kamala Harris,2
"Saifuddin Ahmed, a communication professor at Singapore's Nanyang Technological University, said podcasts are effective in connecting ""directly and authentically with younger, often politically disinterested audiences.""",Kamala Harris,2
"""Podcasts offer a more casual and relatable setting for political messaging, which resonates well with younger audiences who often prefer lighter, less formal discussions over heavy policy talk,"" he said.",Kamala Harris,2
"He added that podcasts are perceived as ""more sincere and less controlled compared to traditional media outlets.""",Kamala Harris,2
"Advertisement

""Unlike traditional media, often viewed as having political biases or strict editorial control, podcasts offer direct communication between candidates and audiences, promoting a sense of connection,"" Ahmed said.",Kamala Harris,2
But he cautioned that podcasters may have their own biases and commercial interests as well.,Kamala Harris,0
Podcast clips also have mileage beyond just the channel.,Kamala Harris,2
"For instance, clips from Trump's interviews with Paul and Ross have gone viral on both TikTok and X.",Kamala Harris,2
"That reach on TikTok, in particular, is a big get.",Kamala Harris,2
"According to a September 2023 survey from the Pew Research Center, 17% of US adults in September said they regularly get news from TikTok, up from 3% in 2020.",Kamala Harris,2
"Advertisement

That number jumped from 9% to 39% among 18- to 29-year-olds.",Kamala Harris,2
"The survey was conducted on 10,658 US adults from July 15 to August 4, 2024.",Kamala Harris,1
"Trump has a robust TikTok following, with 11.7 million followers as of press time.",Kamala Harris,2
"He also has the full-throated endorsement of Musk, who owns X.

Harris lags behind Trump in terms of TikTok following, with 4.6 million as of press time.",Kamala Harris,0
"But she has tried to make up for it on other fronts, like her Gen Z-targeted social media campaign on X with memes and celebrity endorsements, as well as her trendy campaign merchandise.",Kamala Harris,2
"This article is part of a series on what the 2024 presidential election means for science, health and the environment.",Donald Trump,1
Editors with expertise on each topic delved into the candidates’ records and policies and the evidence behind them.,Donald Trump,1
Read the rest of the stories here .,Donald Trump,1
The U.S. is home to more guns than people.,Donald Trump,0
"The toll of this abundance of firearms is staggering: Guns killed more than 48,000 people in the U.S. in 2022, the equivalent of one person every 11 minutes.",Donald Trump,0
"More than half of those deaths were suicides, and guns are the overall leading cause of death in children aged one to 17.",Donald Trump,0
"Mass shootings—600-some per year in recent years, although definitions vary—have stoked fear and anger, reshaping the American school experience.",Donald Trump,0
Yet mass shootings make up only a tiny fraction of firearm fatalities.,Donald Trump,1
"And about a third of Americans say they own a gun, even as six in 10 say they favor stricter gun laws.",Donald Trump,1
"The rage, despair, carelessness and greed behind the deaths may be universal, but such numbers are unique to the U.S.",Donald Trump,0
"Here “our interpersonal conflicts are much more likely to be lethal because we’re more likely to be armed with guns,” says Daniel Webster, a gun violence researcher at Johns Hopkins University.",Donald Trump,0
"On supporting science journalism

If you're enjoying this article, consider supporting our award-winning journalism by subscribing.",Donald Trump,1
By purchasing a subscription you are helping to ensure the future of impactful stories about the discoveries and ideas shaping our world today.,Donald Trump,1
"But there’s nothing inevitable about the prevalence of gun deaths in the U.S. It’s a reality that policies have created and that policies could change, if the political will existed.",Donald Trump,0
"Evidence suggests that if Vice President Kamala Harris were to become the next U.S. president, she would move toward policies that would reduce gun violence—and that if former president Donald Trump were reelected, he would support laxer policies that could permit gun violence to worsen.",Donald Trump,0
"Compared with other common health issues in the U.S., data about gun violence are limited; data about nonfatal gun injuries are almost nonexistent.",Donald Trump,0
"These gaps, combined with the usual scientific difficulties of distinguishing between causation and correlation, mean researchers lack much of the detailed information they need to analyze the effects of different gun-related policies.",Donald Trump,1
"That said, the existing research does show that more guns do not keep people safer.",Donald Trump,0
"Here’s a rundown of what we can expect from each presidential candidate when it comes to gun policy:

Harris on Gun Policy

Harris has a long history of working with gun policy: She did so when she held a string of district attorney offices in the 1990s and 2000s and when she became California’s attorney general in the 2010s.",Donald Trump,2
"Throughout those periods, she encouraged the development of stricter restrictions on gun ownership, as well as stronger enforcement of existing regulations.",Donald Trump,2
"Later, as a U.S. senator, Harris worked on legislation to mandate universal background checks and to better regulate gun dealer licensing.",Donald Trump,2
"She has in the past also called for both a ban on and a mandatory buyback of assault weapons, although Webster says studies suggest that assault weapon bans can be evaded too easily to impact violence rates.",Donald Trump,1
"In 2022, during the Biden-Harris administration, Congress passed the first sweeping gun legislation in nearly three decades.",Donald Trump,2
"This included important funding mechanisms, as well as a few policy changes, such as requiring stronger background checks on gun buyers under 21 years old, requiring more gun sellers to conduct background checks and broadening a measure meant to keep guns away from domestic violence offenders.",Donald Trump,2
"The latter now include those who have abused dating partners, as well as spouses and close family members.",Donald Trump,2
"The single most effective policy to reduce gun deaths, according to Webster’s research, is an independent licensing process for gun ownership—not merely a background check managed by gun dealers themselves—that includes vetting the fingerprints and other information an applicant provides.",Donald Trump,2
Webster also finds positive results from regulations that take guns away from domestic violence offenders.,Donald Trump,2
"President Joe Biden created a White House Office of Gun Violence Prevention, which Harris oversees and which works on policies at both the state and local levels.",Donald Trump,2
"“This is the first office of gun violence prevention that was initiated in the White House and overseen by a vice president,” says Joseph Richardson, Jr., a medical anthropologist at the University of Maryland.",Donald Trump,2
"“I don’t think most Americans are even aware that she runs that office.”

That office and the 2022 legislation both go beyond policies directly related to gun access.",Donald Trump,1
"For example, Richardson studies community violence intervention programs, which he says have been shown to reduce shootings when they are allowed to operate for at least three to five years.",Donald Trump,2
"Both Webster and Rosanna Smart, an economist at the nonprofit think tank RAND and co-director of its Gun Policy in America initiative, say that because U.S. gun violence is related to a wide variety of socioeconomic factors, policies directly related to guns—while crucial in themselves—are not the only necessary step.",Donald Trump,2
"For example, given that more than half of gun deaths are caused by suicide, reducing fatalities also requires improving living situations and mental health care.",Donald Trump,1
"Most of all, Webster says, gun violence is about desperate conditions.",Donald Trump,0
“It’s not just race; it’s not just poverty.,Donald Trump,1
"It’s very concentrated disadvantage that really shuts off constrained social networks and opportunities to thrive,” he says.",Donald Trump,0
"Harris nods to this broader approach on her campaign website, mentioning gun violence prevention programs in particular.",Donald Trump,1
At campaign rallies she has discussed the damage done by school shootings and active shooter drills.,Donald Trump,1
"She has also met with survivors of the 2012 Sandy Hook school shooting, who are old enough to vote in a presidential election for the first time this year.",Donald Trump,1
"Still, some experts say two key policy approaches with demonstrated effects in reducing gun violence, particularly among younger people, seem to be missing from Harris’s campaign.",Donald Trump,0
Smart says she has found particularly strong evidence that laws implementing stricter minimum age requirements for purchasing firearms reduce gun suicides in young people.,Donald Trump,1
"Laws that either make guns less accessible to children or penalize owners if their gun is accessed by a child also reduce all types of gun violence among young people, Smart says.",Donald Trump,1
